time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-26 00:00:00+00:00,25,7,2,2
2026-04-27 00:00:00+00:00,25,10,0,0
2026-04-28 00:00:00+00:00,21,6,0,0
2026-04-29 00:00:00+00:00,20,8,3,2
2026-04-30 00:00:00+00:00,34,9,0,0
2026-05-01 00:00:00+00:00,18,7,2,2
2026-05-02 00:00:00+00:00,22,8,0,0
2026-05-03 00:00:00+00:00,35,10,1,1
2026-05-04 00:00:00+00:00,37,13,0,0
2026-05-05 00:00:00+00:00,46,14,1,1
2026-05-06 00:00:00+00:00,28,10,0,0
2026-05-07 00:00:00+00:00,6,5,1,1
2026-05-08 00:00:00+00:00,37,11,0,0
2026-05-09 00:00:00+00:00,23,10,6,3
