time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-23 00:00:00+00:00,10,9,4,2
2026-02-24 00:00:00+00:00,3,3,3,3
2026-02-25 00:00:00+00:00,22,8,7,3
2026-02-26 00:00:00+00:00,22,13,0,0
2026-02-27 00:00:00+00:00,17,8,3,3
2026-02-28 00:00:00+00:00,5,4,0,0
2026-03-01 00:00:00+00:00,9,4,0,0
2026-03-02 00:00:00+00:00,16,7,0,0
2026-03-03 00:00:00+00:00,2,2,1,1
2026-03-04 00:00:00+00:00,6,4,0,0
2026-03-05 00:00:00+00:00,5,4,0,0
2026-03-06 00:00:00+00:00,9,4,0,0
2026-03-07 00:00:00+00:00,11,6,0,0
2026-03-08 00:00:00+00:00,17,8,0,0
