referrer,views_total,views_unique
Google,25,12
agile.cs.manchester.ac.uk,21,7
github.com,15,6
statics.teams.cdn.office.net,10,3
unikraft.github.io,4,1
sites.google.com,2,1
linkedin.com,1,1
summerofcode.withgoogle.com,1,1
