time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-20 00:00:00+00:00,3,3,,
2025-10-21 00:00:00+00:00,19,4,3.0,2.0
2025-10-22 00:00:00+00:00,8,3,2.0,2.0
2025-10-23 00:00:00+00:00,3,3,,
2025-10-24 00:00:00+00:00,14,6,4.0,2.0
2025-10-25 00:00:00+00:00,5,5,1.0,1.0
2025-10-26 00:00:00+00:00,17,7,,
2025-10-27 00:00:00+00:00,8,3,,
2025-10-28 00:00:00+00:00,27,7,,
2025-10-29 00:00:00+00:00,8,3,2.0,2.0
2025-10-30 00:00:00+00:00,4,3,,
2025-10-31 00:00:00+00:00,1,1,1.0,1.0
2025-11-01 00:00:00+00:00,7,2,4.0,2.0
2025-11-02 00:00:00+00:00,6,1,,
