referrer,views_total,views_unique
github.com,12,3
Google,4,4
statics.teams.cdn.office.net,3,3
statics.gov.teams.microsoft.us,2,1
summerofcode.withgoogle.com,2,1
unikraft.org,2,1
Bing,1,1
owl.eu.com,1,1
