time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-13 00:00:00+00:00,1,1,,
2025-10-14 00:00:00+00:00,25,5,1.0,1.0
2025-10-15 00:00:00+00:00,8,3,7.0,5.0
2025-10-16 00:00:00+00:00,8,3,5.0,3.0
2025-10-17 00:00:00+00:00,7,2,2.0,2.0
2025-10-18 00:00:00+00:00,8,3,1.0,1.0
2025-10-19 00:00:00+00:00,8,3,,
2025-10-20 00:00:00+00:00,3,3,,
2025-10-21 00:00:00+00:00,19,4,3.0,2.0
2025-10-22 00:00:00+00:00,8,3,2.0,2.0
2025-10-23 00:00:00+00:00,3,3,,
2025-10-24 00:00:00+00:00,14,6,4.0,2.0
2025-10-25 00:00:00+00:00,5,5,1.0,1.0
2025-10-26 00:00:00+00:00,10,5,,
