url_path,views_total,views_unique
/unikraft/loupe,12,9
/unikraft/loupe/pull/31/files,6,3
/unikraft/loupe/issues/18,3,3
/unikraft/loupe/blob/7363a10b86fb6d843c84ad6b337349eecfd8d247/unikraft%2Floupe%2Fghrs-data%2Fsnapshots%2F2025-05-04_231052_top_paths_snapshot.csv,2,1
/unikraft/loupe/blob/7363a10b86fb6d843c84ad6b337349eecfd8d247/unikraft%2Floupe%2Fghrs-data%2Fsnapshots%2F2025-05-04_231052_top_referrers_snapshot.csv,2,1
/unikraft/loupe/blob/staging/loupe,1,1
/unikraft/loupe/pull/31,1,1
/unikraft/loupe/pulls,1,1
/unikraft/loupe/tree/github-repo-stats/unikraft/loupe/ghrs-data,1,1
/unikraft/loupe/wiki,1,1
