time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-07 00:00:00+00:00,19,10,1,1
2026-02-08 00:00:00+00:00,20,10,0,0
2026-02-09 00:00:00+00:00,16,7,3,2
2026-02-10 00:00:00+00:00,17,8,2,2
2026-02-11 00:00:00+00:00,15,6,1,1
2026-02-12 00:00:00+00:00,23,10,0,0
2026-02-13 00:00:00+00:00,18,9,0,0
2026-02-14 00:00:00+00:00,16,8,0,0
2026-02-15 00:00:00+00:00,17,8,2,1
2026-02-16 00:00:00+00:00,5,4,0,0
2026-02-17 00:00:00+00:00,15,8,0,0
2026-02-18 00:00:00+00:00,12,6,1,1
2026-02-19 00:00:00+00:00,16,7,1,1
2026-02-20 00:00:00+00:00,17,11,10,4
