time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,14,8,0,0
2026-04-12 00:00:00+00:00,5,4,0,0
2026-04-13 00:00:00+00:00,27,9,3,1
2026-04-14 00:00:00+00:00,30,8,1,1
2026-04-15 00:00:00+00:00,3,2,7,2
2026-04-16 00:00:00+00:00,39,15,9,6
2026-04-17 00:00:00+00:00,26,8,0,0
2026-04-18 00:00:00+00:00,14,8,0,0
2026-04-19 00:00:00+00:00,17,8,0,0
2026-04-20 00:00:00+00:00,61,21,1,1
2026-04-21 00:00:00+00:00,54,25,5,3
2026-04-22 00:00:00+00:00,102,34,1,1
2026-04-23 00:00:00+00:00,55,23,0,0
2026-04-24 00:00:00+00:00,54,23,0,0
