url_path,views_total,views_unique
/unikraft/loupe,4,4
/unikraft/loupe/blob/7363a10b86fb6d843c84ad6b337349eecfd8d247/unikraft%2Floupe%2Fghrs-data%2Fsnapshots%2F2025-05-04_231052_top_paths_snapshot.csv,2,1
/unikraft/loupe/blob/7363a10b86fb6d843c84ad6b337349eecfd8d247/unikraft%2Floupe%2Fghrs-data%2Fsnapshots%2F2025-05-04_231052_top_referrers_snapshot.csv,2,1
/unikraft/loupe/pull/27,2,1
/unikraft/loupe/pull/31,2,1
/unikraft/loupe/issues/22,1,1
/unikraft/loupe/pull/27/commits,1,1
/unikraft/loupe/pull/31/files,1,1
