time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,22,8,1,1
2026-08-02 00:00:00+00:00,15,6,1,1
2026-08-03 00:00:00+00:00,4,4,2,2
2026-08-04 00:00:00+00:00,21,12,9,8
2026-08-05 00:00:00+00:00,10,8,2,2
2026-08-06 00:00:00+00:00,0,0,2,2
2026-08-07 00:00:00+00:00,15,8,0,0
2026-08-08 00:00:00+00:00,19,9,0,0
2026-08-09 00:00:00+00:00,8,4,2,2
2026-08-10 00:00:00+00:00,9,4,0,0
2026-08-11 00:00:00+00:00,10,5,1,1
2026-08-12 00:00:00+00:00,2,2,1,1
2026-08-13 00:00:00+00:00,13,4,0,0
2026-08-14 00:00:00+00:00,5,5,1,1
