time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-26 00:00:00+00:00,3,3,0,0
2026-07-27 00:00:00+00:00,16,5,0,0
2026-07-28 00:00:00+00:00,19,6,1,1
2026-07-29 00:00:00+00:00,10,6,1,1
2026-07-30 00:00:00+00:00,10,4,1,1
2026-07-31 00:00:00+00:00,15,6,2,1
2026-08-01 00:00:00+00:00,22,8,1,1
2026-08-02 00:00:00+00:00,15,6,1,1
2026-08-03 00:00:00+00:00,4,4,2,2
2026-08-04 00:00:00+00:00,21,12,9,8
2026-08-05 00:00:00+00:00,10,8,2,2
2026-08-06 00:00:00+00:00,0,0,2,2
2026-08-07 00:00:00+00:00,15,8,0,0
2026-08-08 00:00:00+00:00,19,9,0,0
