url_path,views_total,views_unique
/unikraft/loupe,16,11
/unikraft/loupe/pull/31/files,6,3
/unikraft/loupe/issues/18,3,3
/unikraft/loupe/blob/5d754fce9d597b6a43c880cf02342f07667eee1c/loupe,2,2
/unikraft/loupe/issues/22,2,2
/unikraft/loupe/issues/30,2,2
/unikraft/loupe/blob/7363a10b86fb6d843c84ad6b337349eecfd8d247/unikraft%2Floupe%2Fghrs-data%2Fsnapshots%2F2025-05-04_231052_top_paths_snapshot.csv,2,1
/unikraft/loupe/blob/7363a10b86fb6d843c84ad6b337349eecfd8d247/unikraft%2Floupe%2Fghrs-data%2Fsnapshots%2F2025-05-04_231052_top_referrers_snapshot.csv,2,1
/unikraft/loupe/blob/staging/index.md,1,1
/unikraft/loupe/blob/staging/loupe,1,1
