time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-08 00:00:00+00:00,4,4,4.0,4.0
2025-03-09 00:00:00+00:00,4,2,1.0,1.0
2025-03-10 00:00:00+00:00,8,6,1.0,1.0
2025-03-11 00:00:00+00:00,3,3,,
2025-03-12 00:00:00+00:00,7,3,,
2025-03-13 00:00:00+00:00,4,2,4.0,2.0
2025-03-14 00:00:00+00:00,3,3,1.0,1.0
2025-03-15 00:00:00+00:00,3,2,5.0,4.0
2025-03-16 00:00:00+00:00,2,2,3.0,1.0
2025-03-17 00:00:00+00:00,2,2,13.0,7.0
2025-03-18 00:00:00+00:00,8,4,38.0,6.0
2025-03-19 00:00:00+00:00,3,2,1.0,1.0
2025-03-20 00:00:00+00:00,4,3,19.0,14.0
2025-03-21 00:00:00+00:00,8,5,31.0,14.0
