time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-09 00:00:00+00:00,11,6,,
2025-11-10 00:00:00+00:00,5,4,,
2025-11-11 00:00:00+00:00,10,4,2.0,2.0
2025-11-12 00:00:00+00:00,5,5,,
2025-11-13 00:00:00+00:00,5,4,,
2025-11-14 00:00:00+00:00,5,4,4.0,2.0
2025-11-15 00:00:00+00:00,11,4,10.0,1.0
2025-11-16 00:00:00+00:00,4,4,,
2025-11-17 00:00:00+00:00,4,4,7.0,1.0
2025-11-18 00:00:00+00:00,5,4,,
2025-11-19 00:00:00+00:00,3,3,1.0,1.0
2025-11-20 00:00:00+00:00,2,2,2.0,1.0
2025-11-21 00:00:00+00:00,3,3,3.0,2.0
2025-11-22 00:00:00+00:00,3,2,10.0,3.0
