time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-01 00:00:00+00:00,18,7,2,2
2026-05-02 00:00:00+00:00,22,8,0,0
2026-05-03 00:00:00+00:00,35,10,1,1
2026-05-04 00:00:00+00:00,37,13,0,0
2026-05-05 00:00:00+00:00,46,14,1,1
2026-05-06 00:00:00+00:00,28,10,0,0
2026-05-07 00:00:00+00:00,6,5,1,1
2026-05-08 00:00:00+00:00,37,11,0,0
2026-05-09 00:00:00+00:00,23,10,6,3
2026-05-10 00:00:00+00:00,11,6,1,1
2026-05-11 00:00:00+00:00,33,8,1,1
2026-05-12 00:00:00+00:00,15,4,11,3
2026-05-13 00:00:00+00:00,41,10,0,0
2026-05-14 00:00:00+00:00,17,7,0,0
