time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-01 00:00:00+00:00,14,6,12,4
2026-04-02 00:00:00+00:00,10,6,0,0
2026-04-03 00:00:00+00:00,15,7,2,2
2026-04-04 00:00:00+00:00,8,7,43,3
2026-04-05 00:00:00+00:00,15,9,4,4
2026-04-06 00:00:00+00:00,14,9,4,3
2026-04-07 00:00:00+00:00,4,4,0,0
2026-04-08 00:00:00+00:00,19,8,3,2
2026-04-09 00:00:00+00:00,15,6,4,2
2026-04-10 00:00:00+00:00,22,8,8,4
2026-04-11 00:00:00+00:00,14,8,0,0
2026-04-12 00:00:00+00:00,5,4,0,0
2026-04-13 00:00:00+00:00,27,9,3,1
2026-04-14 00:00:00+00:00,30,8,1,1
