time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-05 00:00:00+00:00,4,4,2,2
2026-09-06 00:00:00+00:00,1,1,0,0
2026-09-07 00:00:00+00:00,1,1,1,1
2026-09-08 00:00:00+00:00,15,5,1,1
2026-09-09 00:00:00+00:00,8,6,0,0
2026-09-10 00:00:00+00:00,6,5,1,1
2026-09-11 00:00:00+00:00,8,8,5,1
2026-09-12 00:00:00+00:00,41,16,6,1
2026-09-13 00:00:00+00:00,8,7,1,1
2026-09-14 00:00:00+00:00,2,2,1,1
2026-09-15 00:00:00+00:00,26,10,1,1
2026-09-16 00:00:00+00:00,5,4,1,1
2026-09-17 00:00:00+00:00,19,10,1,1
2026-09-18 00:00:00+00:00,25,11,0,0
