time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-01 00:00:00+00:00,18,9,2,2
2026-02-02 00:00:00+00:00,13,8,1,1
2026-02-03 00:00:00+00:00,13,8,10,3
2026-02-04 00:00:00+00:00,7,6,18,5
2026-02-05 00:00:00+00:00,4,3,1,1
2026-02-06 00:00:00+00:00,5,4,0,0
2026-02-07 00:00:00+00:00,19,10,1,1
2026-02-08 00:00:00+00:00,20,10,0,0
2026-02-09 00:00:00+00:00,16,7,3,2
2026-02-10 00:00:00+00:00,17,8,2,2
2026-02-11 00:00:00+00:00,15,6,1,1
2026-02-12 00:00:00+00:00,23,10,0,0
2026-02-13 00:00:00+00:00,18,9,0,0
2026-02-14 00:00:00+00:00,16,8,0,0
