time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-12 00:00:00+00:00,15,4,11,3
2026-05-13 00:00:00+00:00,41,10,0,0
2026-05-14 00:00:00+00:00,17,7,0,0
2026-05-15 00:00:00+00:00,15,6,0,0
2026-05-16 00:00:00+00:00,30,5,1,1
2026-05-17 00:00:00+00:00,31,6,0,0
2026-05-18 00:00:00+00:00,3,3,2,2
2026-05-19 00:00:00+00:00,10,5,0,0
2026-05-20 00:00:00+00:00,25,8,0,0
2026-05-21 00:00:00+00:00,22,13,3,3
2026-05-22 00:00:00+00:00,8,3,0,0
2026-05-23 00:00:00+00:00,13,7,12,1
2026-05-24 00:00:00+00:00,20,10,0,0
2026-05-25 00:00:00+00:00,19,8,1,1
